Date,Open,High,Low,Close,Adj Close,Volume
2011-07-29,10.442857,10.520000,10.091429,10.408571,7.635558,20600
2011-08-01,10.517143,10.582857,10.260000,10.460000,7.673283,68900
2011-08-02,10.474286,10.508572,10.411428,10.417143,7.641846,6300
2011-08-03,10.580000,10.928572,10.460000,10.868571,7.973005,10800
2011-08-04,10.857142,11.071428,10.574286,10.842857,7.954144,17800
2011-08-05,10.937143,10.937143,10.874286,10.928572,8.017020,5900
2011-08-08,10.740000,12.697143,9.828571,9.828571,7.210079,136100
2011-08-09,10.034286,10.548572,9.922857,10.000000,7.335837,26900
2011-08-10,9.965714,10.020000,9.142858,9.282857,6.809754,78700
2011-08-11,9.340000,9.497143,9.057143,9.497143,6.966949,24500
2011-08-12,9.565714,9.568571,9.142858,9.271428,6.801368,22700
2011-08-15,9.328571,9.357142,9.285714,9.357142,6.864246,12200
2011-08-16,9.257143,11.411428,9.257143,9.360000,6.866342,9100
2011-08-17,9.362857,9.971429,9.362857,9.600000,7.042404,36400
2011-08-18,9.585714,9.700000,9.331429,9.428572,6.916645,28700
2011-08-19,9.394286,9.594286,9.394286,9.428572,6.916645,12600
2011-08-22,9.637143,9.637143,9.357142,9.517143,6.981620,9100
2011-08-23,9.428572,9.597143,9.417143,9.597143,7.040307,12200
2011-08-24,9.511429,9.705714,9.511429,9.705714,7.119954,9100
2011-08-25,8.845715,10.485714,8.845715,9.400000,6.895685,49300
2011-08-26,9.457143,9.708571,9.442857,9.708571,7.122048,3800
2011-08-29,9.745714,9.751429,9.514286,9.751429,7.153489,9800
2011-08-30,9.748571,10.448571,9.748571,10.085714,7.398713,15400
2011-08-31,10.028571,10.034286,9.648571,9.648571,7.235869,7700
2011-09-01,9.317142,9.317142,9.208571,9.208571,6.905896,4900
2011-09-02,9.091429,9.382857,9.091429,9.191428,6.893039,16100
2011-09-06,8.860000,9.377143,8.860000,9.214286,6.910181,12200
2011-09-07,9.302857,9.511429,9.302857,9.485714,7.113736,19600
2011-09-08,9.485714,9.617143,9.308572,9.331429,6.998033,10800
2011-09-09,9.482857,9.482857,9.154285,9.154285,6.865184,25500
2011-09-12,9.142858,9.314285,9.028571,9.068571,6.800903,45800
2011-09-13,9.065714,9.285714,9.065714,9.237143,6.927321,9100
2011-09-14,9.245714,9.394286,9.237143,9.351429,7.013031,10800
2011-09-15,9.360000,9.368571,9.248571,9.368571,7.025885,11200
2011-09-16,9.468572,9.917143,9.285714,9.748571,7.310863,60900
2011-09-19,9.580000,9.717143,9.300000,9.657143,7.242298,26900
2011-09-20,9.714286,9.725715,9.680000,9.680000,7.259440,7000
2011-09-21,9.680000,9.694285,9.514286,9.685715,7.263725,14000
2011-09-22,9.574286,9.714286,9.285714,9.285714,6.963748,15700
